0,1,2,3,4,5,6,7,8,9,10,11,12
0.5,891,18,576,46,1417,53,1289,733,11.9,57.4,0.7978,1.9
1.6,1173,84,878,160,1038,84,1556,1052,9.9,65.2,0.7956,7.5
4.1,1587,260,1334,320,702,108,1999,1534,11.1,60.2,0.7958,21.4
6.6,1852,534,1696,377,553,127,2535,1931,14.1,50.0,0.802,36.4
4.3,1522,368,1331,280,703,134,2026,1734,17.7,40.1,0.8048,21.3
2.9,1438,200,1161,221,819,135,1782,1595,21.1,33.4,0.8265,15.4
2.5,1393,145,1067,210,905,142,1654,1490,24.3,28.3,0.8471,12.5
2.8,1452,188,1152,204,861,153,1747,1508,25.6,25.6,0.8254,15.1
2.6,1389,152,1108,161,887,123,1712,1334,25.9,25.9,0.8503,13.7
2.0,1207,103,994,135,1013,104,1520,1045,26.8,18.7,0.65,10.4
2.9,1365,193,1154,186,940,129,1679,1221,29.3,15.8,0.6309,15.2
2.5,1247,134,1060,147,1032,114,1525,1069,28.5,14.9,0.5708,12.3
5.0,1557,386,1478,299,793,158,1981,1569,25.9,16.0,0.5237,27.0
7.6,1973,577,1737,411,617,194,2414,2306,23.1,26.5,0.7403,38.4
6.7,1975,523,1667,347,597,182,2416,2359,20.5,38.2,0.9133,35.1
5.7,1795,472,1485,336,653,180,2174,2050,19.1,42.6,0.9294,27.2
2.8,1444,206,1150,202,770,136,1727,1727,17.2,44.1,0.8558,15.0
2.6,1488,216,1171,178,731,127,1778,1705,16.0,50.9,0.9206,15.7
2.3,1371,159,1083,154,796,116,1669,1551,14.8,53.9,0.9024,13.0
1.4,1161,70,904,92,947,107,1502,1240,14.3,55.4,0.8975,8.1
1.0,1064,44,787,61,1057,88,1407,1115,14.8,52.1,0.8686,5.5
0.6,931,20,623,37,1293,57,1307,828,12.0,58.9,0.8233,2.5
0.7,938,26,650,68,1251,71,1333,893,10.9,62.1,0.8113,3.0
1.5,1166,78,885,139,1005,85,1551,1075,10.6,63.3,0.8067,7.7
4.7,1643,319,1384,339,667,124,2094,1610,11.5,60.0,0.8117,23.3
6.6,1934,506,1682,421,541,151,2468,2051,14.3,50.6,0.8186,35.8
2.3,1076,451,1034,150,964,101,1544,813,21.3,24.2,0.606,11.6
2.6,1152,185,1062,138,928,103,1606,850,20.2,28.5,0.6682,12.4
3.8,1407,426,1249,213,720,129,1932,1276,17.0,43.1,0.8264,18.3
4.4,1438,672,1325,232,678,143,1993,1401,15.6,47.4,0.8347,21.0
4.5,1425,624,1325,238,678,146,1965,1356,15.3,47.4,0.8178,21.0
3.3,1279,325,1131,180,775,124,1758,1243,14.5,49.7,0.8177,14.5
2.0,1132,143,916,128,920,113,1561,1083,13.9,52.0,0.8231,8.4
1.1,1006,89,729,65,1142,80,1370,795,14.5,49.4,0.8106,4.3
0.9,982,73,700,53,1204,72,1359,735,13.8,51.4,0.8071,3.8
0.8,969,48,636,47,1271,64,1309,684,14.0,51.3,0.8163,2.7
0.7,941,47,621,51,1298,70,1330,714,13.0,56.8,0.8444,2.5
0.3,834,19,459,13,1908,22,1212,361,8.8,80.5,0.9147,0.6
0.5,909,26,567,33,1542,47,1287,418,9.6,75.4,0.9004,1.8
1.1,1061,60,745,103,1178,88,1429,616,9.8,75.0,0.9093,4.6
3.0,1441,248,1124,224,851,130,1829,1089,10.0,74.2,0.9117,14.2
3.8,1498,535,1325,244,684,132,2095,1329,11.2,69.7,0.9232,21.0
3.4,1343,340,1185,237,760,132,1857,1311,12.0,62.9,0.8803,16.2
3.0,1308,325,1166,220,792,131,1794,1236,12.8,55.8,0.821,15.5
2.7,1209,267,1097,207,837,129,1746,1147,13.1,54.8,0.8234,13.4
3.5,1310,325,1207,208,770,132,1847,1301,13.8,53.4,0.8351,16.9
2.8,1171,268,1064,160,881,110,1639,1097,16.0,42.4,0.7674,12.4
1.9,1112,136,980,131,924,99,1589,900,14.1,49.8,0.7971,10.1
2.0,1132,118,927,128,944,100,1570,781,12.0,61.1,0.8537,8.7
3.0,1225,276,1111,176,818,122,1719,1013,13.6,54.6,0.8465,13.8
1.9,1065,151,953,107,962,97,1514,790,13.7,49.5,0.7695,9.3
2.7,1236,236,1084,131,854,112,1688,1059,11.7,57.1,0.7822,13.0
3.3,1309,220,1126,166,812,128,1722,1205,11.5,58.2,0.7867,14.3
1.7,1089,87,884,89,1006,101,1487,975,12.6,54.2,0.7881,7.6
1.3,1000,81,776,81,1141,96,1375,896,12.0,54.9,0.7664,5.3
1.3,1041,74,782,78,1105,86,1425,911,11.0,61.4,0.8057,5.4
1.2,1045,55,756,70,1137,85,1411,902,11.1,62.2,0.8199,4.9
1.1,997,74,744,76,1151,79,1405,832,10.8,62.5,0.8082,4.6
0.9,948,35,634,43,1320,61,1326,715,11.3,60.0,0.8025,2.7
0.6,892,20,522,34,1572,54,1255,648,10.9,58.6,0.7628,1.2
0.8,954,32,561,43,1496,57,1255,612,10.8,57.2,0.7382,1.7
1.2,1045,84,751,79,1186,75,1403,800,10.4,59.2,0.7455,4.8
3.1,1383,245,1109,174,832,97,1706,1173,11.0,57.3,0.7501,13.8
4.4,1597,553,1395,235,652,110,2080,1519,11.2,56.9,0.7565,23.7
3.4,1318,450,1124,218,762,113,1770,1287,12.1,54.9,0.7734,14.2
1.7,1138,118,898,136,950,88,1505,966,15.1,44.3,0.7535,8.0
1.5,1098,118,842,117,1012,85,1440,828,15.6,40.6,0.7146,6.7
1.7,1118,144,927,119,959,96,1477,825,16.9,34.6,0.6597,8.7
2.2,1170,159,1009,126,879,106,1566,872,16.6,35.6,0.6697,10.8
2.7,1390,230,1028,197,829,126,1730,1002,9.6,81.1,0.972,11.4
2.8,1353,320,1096,195,774,130,1783,1159,11.7,69.1,0.9497,13.4
2.7,1260,263,1050,156,828,111,1722,979,10.7,68.5,0.8794,12.0
4.5,1501,556,1302,247,681,134,2008,1311,10.7,67.3,0.8643,20.2
3.5,1273,458,1130,190,795,136,1744,1071,10.8,65.7,0.8486,14.4
2.6,1179,214,955,169,928,125,1571,899,10.3,66.3,0.8336,9.4
1.7,1047,97,809,118,1064,108,1435,766,10.1,66.9,0.8248,5.9
1.3,973,79,739,81,1186,87,1354,589,10.4,61.1,0.7717,4.5
1.3,997,81,737,80,1168,89,1341,631,10.3,59.9,0.7516,4.5
1.0,970,52,621,42,1400,58,1249,479,11.0,58.4,0.7686,2.5
0.7,902,38,568,38,1450,54,1253,479,9.1,68.1,0.789,1.8
0.5,858,29,490,18,1707,28,1212,378,9.3,72.3,0.8496,0.9
0.5,878,21,457,12,1935,20,1158,344,9.9,66.8,0.8152,0.6
0.6,893,46,540,43,1604,51,1268,413,7.6,83.2,0.8695,1.4
1.1,1038,55,697,84,1260,82,1383,605,8.1,79.0,0.8544,3.8
2.7,1320,271,1035,184,902,112,1721,991,8.7,74.6,0.8429,11.6
3.5,1353,434,1235,202,740,119,1937,1175,8.6,75.1,0.8415,17.8
2.3,1133,300,933,133,969,99,1552,923,9.7,69.7,0.8389,8.8
1.6,1066,116,849,130,1039,98,1468,829,11.0,64.4,0.8447,6.8
1.3,1027,95,809,106,1081,88,1442,733,13.6,53.0,0.8209,5.9
2.0,1106,211,935,132,958,96,1570,819,14.2,48.4,0.778,8.9
1.9,1038,168,907,106,976,81,1492,723,14.2,46.3,0.7438,8.2
1.9,1084,154,924,125,986,92,1501,786,16.0,41.3,0.7462,8.6
2.2,1105,267,982,138,939,105,1545,850,17.7,35.4,0.7094,10.1
2.0,1102,143,957,120,968,88,1527,820,17.1,37.4,0.7225,9.4
2.9,1240,374,1137,158,836,103,1748,991,14.9,40.5,0.6835,14.6
5.2,1443,797,1418,253,666,141,2060,1454,13.4,47.8,0.7293,24.6
4.6,1389,698,1341,231,692,133,1982,1488,12.6,52.5,0.7642,21.6
2.5,1183,234,989,150,904,119,1539,1205,12.2,53.2,0.7555,10.3
1.5,1014,104,798,99,1083,106,1376,909,10.6,56.1,0.714,5.7
1.2,979,67,736,75,1154,92,1324,769,9.9,59.5,0.7276,4.5
1.7,1048,88,787,93,1098,97,1373,835,9.6,61.1,0.7323,5.5
1.4,1024,79,753,79,1131,91,1357,793,9.7,61.6,0.7425,4.8
1.2,974,61,690,67,1208,83,1313,733,9.4,62.6,0.7398,3.6
0.7,925,40,602,45,1398,59,1263,562,8.0,69.4,0.7459,2.2
0.8,952,52,654,72,1210,73,1312,832,7.7,72.4,0.7655,3.0
0.9,1005,64,713,103,1130,78,1363,924,8.0,71.8,0.7711,4.0
1.6,1122,88,842,132,1015,90,1438,974,8.5,66.3,0.7375,6.7
3.4,1351,375,1201,239,783,110,1828,1307,9.8,59.6,0.7214,16.7
3.8,1408,592,1278,275,682,114,1928,1481,11.2,57.0,0.7544,19.3
3.1,1304,357,1142,232,772,119,1747,1405,14.8,44.1,0.7407,14.8
2.7,1207,296,1098,180,826,121,1664,1195,16.8,35.3,0.6729,13.4
2.0,1099,181,1014,112,948,97,1503,868,19.2,27.1,0.5976,11.0
2.3,1106,211,1068,116,915,99,1535,874,19.1,26.2,0.5741,12.5
1.9,1009,199,916,103,1015,85,1391,738,16.3,30.8,0.5683,8.4
1.3,962,81,776,89,1152,75,1279,550,14.2,36.8,0.5922,5.3
1.9,1093,143,933,112,976,87,1454,777,13.4,41.0,0.6292,8.8
2.3,1180,247,1023,127,886,102,1588,966,14.2,43.3,0.6982,11.2
2.4,1168,239,1037,125,868,105,1580,990,12.1,45.6,0.6403,11.6
2.7,1168,267,1063,120,876,98,1540,944,10.4,48.0,0.6046,12.4
2.6,1140,261,1000,120,916,93,1490,962,10.0,51.1,0.628,10.6
1.5,1001,97,811,99,1097,91,1308,778,9.8,50.8,0.6172,6.0
1.2,953,66,743,79,1185,85,1252,690,9.7,50.4,0.6063,4.6
1.1,972,60,715,66,1237,74,1258,644,9.9,50.2,0.6103,4.1
1.5,1021,77,776,94,1144,87,1307,753,9.4,53.4,0.63,5.2
1.0,940,57,664,70,1290,79,1232,646,8.6,57.8,0.6488,3.2
1.2,1046,65,736,75,1142,78,1312,838,8.1,62.1,0.6746,4.5
0.8,915,27,578,32,1417,48,1212,665,8.2,58.9,0.6444,1.9
0.9,935,25,615,54,1373,59,1250,717,6.3,66.6,0.641,2.4
1.1,976,42,669,68,1270,65,1266,795,7.2,62.9,0.6396,3.3
1.5,1124,78,842,98,1050,71,1418,936,7.2,63.9,0.65,6.7
1.8,1163,128,919,128,922,84,1530,1076,11.1,50.5,0.6654,8.5
2.1,1167,184,966,129,942,93,1520,1016,15.5,36.1,0.6313,9.7
2.1,1121,156,955,130,992,99,1451,834,17.8,29.2,0.592,9.4
1.9,1071,176,940,111,994,93,1449,756,17.6,30.1,0.6013,9.0
2.1,1065,232,979,106,950,96,1467,766,19.1,26.8,0.5861,10.0
2.5,1157,305,1072,137,888,114,1596,905,17.7,28.6,0.5735,12.6
1.9,1046,150,883,113,1051,101,1357,765,17.8,28.4,0.5737,7.6
2.2,1147,188,1042,122,934,108,1538,830,18.7,26.0,0.5555,11.8
2.3,1119,221,1022,137,916,117,1508,853,17.1,31.3,0.6038,11.2
2.7,1210,219,1062,165,886,125,1586,981,15.8,36.1,0.644,12.4
3.0,1306,306,1079,196,827,133,1621,1286,14.7,40.1,0.6657,12.9
2.8,1258,270,1057,174,841,119,1633,1244,13.6,44.9,0.6991,12.2
2.2,1148,231,930,140,948,107,1475,1056,12.5,48.1,0.6946,8.8
1.6,1108,125,848,102,1023,96,1421,1003,11.8,50.8,0.7042,6.8
2.1,1231,122,924,130,906,105,1483,1245,10.9,56.1,0.7326,8.6
2.3,1293,161,937,121,930,102,1464,1200,10.9,55.9,0.7277,8.9
2.3,1274,101,912,111,939,97,1451,1188,10.3,58.1,0.7278,8.3
1.7,1135,95,827,87,1013,79,1395,1070,9.3,62.2,0.7294,6.3
1.3,1010,96,769,77,1110,69,1396,895,8.3,64.9,0.7124,5.1
0.8,870,54,626,39,1325,52,1284,755,9.6,58.5,0.7,2.6
1.1,983,63,688,77,1251,62,1342,806,7.7,66.4,0.699,3.6
1.4,995,72,691,91,1219,69,1321,836,7.4,68.0,0.7043,3.6
1.3,1024,91,747,105,1136,75,1382,897,9.7,58.6,0.7035,4.7
1.9,1163,127,880,133,959,83,1486,1073,12.5,50.1,0.7242,7.5
2.3,1218,193,938,128,918,94,1501,1088,16.8,36.9,0.7018,9.0
2.3,1210,188,958,126,933,96,1514,1036,19.2,31.3,0.6887,9.5
1.8,1114,151,887,92,1020,86,1438,768,21.3,26.4,0.6607,7.7
1.4,995,103,796,66,1159,72,1287,587,21.2,23.1,0.5768,5.7
1.0,927,55,700,50,1285,53,1189,452,18.6,25.0,0.5319,3.8
1.4,1002,104,754,70,1189,65,1260,470,18.0,27.3,0.5594,4.8
1.3,987,116,727,73,1213,70,1244,502,18.2,28.3,0.5848,4.3
1.3,993,93,714,77,1217,75,1238,516,17.0,31.4,0.6048,4.1
1.4,1012,93,746,86,1174,86,1301,555,15.6,35.0,0.617,4.7
1.9,1114,155,823,93,1068,94,1357,671,14.1,40.2,0.6438,6.2
1.8,1093,115,789,105,1102,103,1329,788,13.4,43.2,0.6623,5.5
1.1,968,75,669,67,1261,81,1246,538,12.3,46.8,0.6686,3.3
1.1,960,65,666,63,1266,80,1224,544,11.9,46.5,0.6449,3.2
1.1,942,57,648,63,1300,77,1204,500,11.5,46.6,0.6319,2.9
0.9,888,40,598,46,1396,58,1156,417,10.6,48.0,0.6135,2.2
0.6,818,27,524,21,1588,31,1071,341,10.7,45.8,0.5895,1.3
0.5,840,23,509,22,1643,38,1076,352,10.4,46.6,0.5901,1.1
0.6,864,21,516,39,1496,59,1153,502,11.3,46.9,0.628,1.2
0.7,898,33,559,55,1441,70,1180,648,10.1,51.2,0.6341,1.7
0.9,946,40,643,76,1309,75,1232,760,9.9,50.7,0.6167,2.9
2.9,1309,279,1125,181,844,103,1687,1183,8.1,56.8,0.615,14.3
4.1,1326,743,1289,259,714,134,1806,1431,10.9,44.1,0.5748,19.7
1.5,966,147,786,118,1111,98,1258,705,11.8,37.6,0.5184,5.5
1.5,975,97,793,119,1133,97,1254,637,13.9,33.2,0.5222,5.6
1.5,988,118,803,123,1105,98,1293,658,15.6,30.1,0.5285,5.8
1.4,971,91,786,92,1129,78,1272,546,16.5,29.0,0.5406,5.5
1.6,1010,146,833,91,1070,83,1332,561,17.5,27.9,0.5517,6.5
1.5,984,139,790,103,1131,92,1268,532,17.9,26.8,0.5446,5.5
1.4,962,155,776,102,1131,81,1247,535,18.2,26.1,0.5387,5.2
1.5,1012,128,801,94,1098,90,1289,525,18.0,27.1,0.5522,5.8
1.9,1058,166,896,98,996,95,1358,603,17.0,28.9,0.5558,7.9
2.5,1173,299,985,126,905,114,1477,802,16.1,31.3,0.568,10.2
2.1,1127,163,907,108,957,106,1404,796,14.5,35.4,0.5839,8.2
1.6,1020,154,797,95,1066,99,1302,689,13.2,37.9,0.5733,5.7
1.2,949,80,700,78,1221,90,1178,553,13.1,34.4,0.517,3.8
1.1,930,58,710,61,1278,82,1137,509,13.5,28.5,0.4405,4.0
1.0,900,55,643,55,1339,74,1089,455,12.4,31.9,0.4583,2.8
1.0,899,33,630,57,1418,76,1050,425,13.1,26.8,0.4023,2.6
0.7,866,33,569,41,1468,66,1055,436,11.6,33.6,0.4595,1.8
0.7,900,32,563,46,1402,73,1130,618,10.5,42.9,0.5442,1.7
0.7,956,26,605,52,1341,71,1117,691,12.9,33.9,0.5037,2.3
1.1,1054,86,779,111,1080,98,1266,1013,11.3,40.3,0.5376,5.3
2.6,1343,294,1096,191,839,115,1587,1311,11.9,38.4,0.5341,13.4
4.0,1584,664,1399,244,642,130,1947,1675,13.3,35.6,0.5416,23.8
4.2,1556,695,1337,283,674,150,1852,1689,16.3,28.8,0.5305,21.5
4.7,1565,735,1324,320,695,159,1872,1688,17.9,28.2,0.5741,21.0
3.9,1429,649,1251,249,734,146,1754,1548,18.3,26.6,0.5529,18.4
3.7,1419,586,1267,219,742,138,1763,1490,20.8,22.5,0.5463,18.9
3.4,1373,546,1213,200,791,128,1711,1354,22.4,20.0,0.5352,17.1
2.2,1185,245,992,138,942,97,1448,1014,20.9,21.7,0.5295,10.4
1.9,1122,178,897,118,991,91,1372,831,19.1,26.5,0.579,8.0
1.6,1085,130,820,99,1060,81,1325,699,18.1,30.6,0.6295,6.2
2.1,1249,151,968,112,874,99,1527,926,17.3,34.7,0.6788,9.7
2.2,1236,272,962,117,853,101,1532,928,15.8,40.4,0.7228,9.6
2.7,1334,301,1047,129,815,106,1638,1038,15.9,42.0,0.7541,11.9
2.4,1264,237,928,132,884,102,1534,1035,15.9,43.5,0.779,8.7
1.3,1073,95,746,73,1072,84,1360,789,15.0,46.1,0.7833,4.7
1.2,1053,68,701,68,1147,81,1323,692,15.1,44.6,0.7574,3.8
1.5,1098,101,747,80,1094,91,1360,764,14.9,43.5,0.7302,4.7
1.3,1029,81,702,68,1180,82,1287,639,14.8,41.0,0.685,3.8
1.0,973,50,631,44,1287,64,1240,541,14.8,40.8,0.6814,2.7
0.9,972,66,639,47,1222,70,1256,678,14.8,40.8,0.6834,2.8
0.5,851,18,477,15,1699,26,1064,343,14.5,36.1,0.5928,0.8
